group,_bin,mem_mb,cpu_pct_1core,,
parsl,610,7497.27,555.729,74972.7,1667.187
parsl,612,9865.74,1673.757,98657.4,5021.271
parsl,614,7074.73,2189.349,70747.3,6568.047
parsl,616,3151.95,760.818,31519.5,2282.454
parsl,618,9518.63,2102.025,95186.3,6306.075
parsl,620,17626.88,2630.895,176268.8,7892.685
parsl,622,7305.27,2241.606,73052.7,6724.818
parsl,624,5335.31,1882.962,53353.1,5648.886
parsl,626,11522.5,1465.401,115225,4396.203
parsl,628,12703.59,2113.71,127035.9,6341.13
parsl,630,2132.93,1090.389,21329.3,3271.167
parsl,632,4065.74,939.6,40657.4,2818.8
parsl,634,8525.62,1677.762,85256.2,5033.286
parsl,636,6910.86,4008.855,69108.6,12026.565
parsl,638,4421.45,1956.789,44214.5,5870.367
parsl,640,4421.45,0,44214.5,0
parsl,642,9423.05,1931.604,94230.5,5794.812
parsl,644,10300.31,1045.353,103003.1,3136.059
parsl,646,3159.49,2935.494,31594.9,8806.482
parsl,648,5318.67,1009.539,53186.7,3028.617
parsl,650,9040.39,841.227,90403.9,2523.681
parsl,652,10900.43,2411.109,109004.3,7233.327
parsl,654,7243.4,2459.517,72434,7378.551
parsl,656,6604.38,2195.526,66043.8,6586.578
parsl,658,8486.84,1738.089,84868.4,5214.267
parsl,660,19804.92,939.279,198049.2,2817.837
parsl,662,7178.71,1719.927,71787.1,5159.781
parsl,664,5179.61,1508.283,51796.1,4524.849
parsl,666,14560.7,1016.211,145607,3048.633
parsl,668,24021.29,2614.233,240212.9,7842.699
parsl,670,3715.7,3035.7,37157,9107.1
parsl,672,5725.16,908.724,57251.6,2726.172
parsl,674,28941.45,1080.282,289414.5,3240.846
parsl,676,21364.69,1542.321,213646.9,4626.963
parsl,678,7627.62,1734.396,76276.2,5203.188
parsl,680,4791.17,1408.644,47911.7,4225.932
parsl,682,7011.21,631.245,70112.1,1893.735
parsl,684,6728.09,4349.622,67280.9,13048.866
