group,_bin,mem_mb,cpu_pct_1core
parsl,782.0,13450.457,571.904
parsl,784.0,13577.953,1280.473
parsl,786.0,13293.477,1474.611
parsl,788.0,13293.477,0.0
parsl,790.0,16370.93,3155.92
parsl,792.0,14213.688,1441.358
parsl,794.0,13778.062,1796.267
parsl,796.0,13042.164,1106.853
parsl,798.0,13296.098,344.707
parsl,800.0,13759.73,1498.513
parsl,802.0,12951.246,656.419
parsl,804.0,13586.34,1297.043
parsl,806.0,14496.805,2234.687
parsl,808.0,14109.844,1705.726
parsl,810.0,13477.477,1873.152
parsl,812.0,13608.254,483.574
parsl,814.0,13617.258,1383.388
parsl,816.0,13811.25,708.236
parsl,818.0,13187.766,1398.158
parsl,820.0,13579.941,778.907
parsl,822.0,14400.129,1432.693
parsl,824.0,14421.008,2719.459
parsl,826.0,14298.855,1372.209
parsl,828.0,13433.879,759.534
parsl,830.0,13805.883,1106.842
parsl,832.0,14091.363,811.311
parsl,834.0,13063.895,1268.378
parsl,836.0,13655.977,1277.456
parsl,838.0,14436.059,1296.666
parsl,840.0,13919.406,2258.32
parsl,842.0,13641.574,1467.933
parsl,844.0,13574.16,945.0
parsl,846.0,13446.992,1197.642
parsl,848.0,15501.594,794.489
parsl,850.0,13313.344,699.204
parsl,852.0,13743.281,2120.087
parsl,854.0,16204.121,1312.035
parsl,856.0,14518.461,1332.24
parsl,858.0,14071.676,1966.127
parsl,860.0,13378.23,1300.291
parsl,862.0,13169.977,586.467
parsl,864.0,13179.406,1689.965
parsl,866.0,12898.234,479.168
parsl,868.0,13457.52,1096.722
parsl,870.0,13895.781,954.743
parsl,872.0,14508.238,2872.792
parsl,874.0,13895.219,1425.221
parsl,876.0,13699.137,1071.24
parsl,878.0,13381.508,1304.81
parsl,880.0,13603.547,937.202
parsl,882.0,12998.121,1309.031
parsl,884.0,13484.156,1094.062
parsl,886.0,14142.777,1109.947
parsl,888.0,14618.859,1566.246
parsl,890.0,13364.125,3329.974
parsl,892.0,13437.219,714.183
parsl,894.0,13134.645,505.346
parsl,896.0,13511.078,936.574
parsl,898.0,13000.805,1667.042
parsl,900.0,13438.105,914.748
parsl,902.0,13922.824,1081.688
parsl,904.0,14674.906,2780.973
parsl,906.0,14092.461,1082.872
parsl,908.0,13911.082,1048.463
parsl,910.0,13402.727,1329.065
parsl,912.0,13549.258,771.722
parsl,914.0,13613.352,1399.945
parsl,916.0,13810.664,1453.478
parsl,918.0,14468.254,1196.161
parsl,920.0,14215.793,1444.746
parsl,922.0,14502.578,2438.308
parsl,924.0,13330.719,870.426
parsl,926.0,13148.195,442.403
parsl,928.0,13720.125,1463.898
parsl,930.0,13344.031,595.287
parsl,932.0,13101.559,567.959
parsl,934.0,14509.398,2646.701
parsl,936.0,14737.211,1597.227
parsl,938.0,13521.805,1812.04
parsl,940.0,13959.34,1416.783
parsl,942.0,13387.156,672.407
parsl,944.0,13812.387,1238.904
parsl,946.0,13309.387,550.875
parsl,948.0,13678.258,1734.296
parsl,950.0,14577.965,1321.476
parsl,952.0,14711.324,1210.668
parsl,954.0,13642.934,2516.235
parsl,956.0,13780.199,1304.041
parsl,958.0,13371.496,881.628
parsl,960.0,14245.18,1070.479
parsl,962.0,13241.754,663.229
parsl,964.0,13736.973,1876.517
parsl,966.0,14521.914,1307.842
parsl,968.0,14719.734,1522.455
parsl,970.0,13823.0,1158.554
parsl,972.0,13695.238,2091.19
parsl,974.0,13613.027,696.192
parsl,976.0,15729.281,965.735
parsl,978.0,13197.707,762.318
parsl,980.0,13378.516,1011.32
parsl,982.0,13831.125,601.073
parsl,984.0,15572.93,1687.081
parsl,986.0,14717.609,1406.918
parsl,988.0,13978.777,2890.08
parsl,990.0,13802.445,781.312
parsl,992.0,13693.191,1176.081
parsl,994.0,12732.914,791.905
parsl,996.0,13150.008,830.894
parsl,998.0,13565.961,644.04
parsl,1000.0,14552.578,3092.45
parsl,1002.0,13630.879,958.37
parsl,1004.0,13506.98,1370.686
parsl,1006.0,14161.367,1993.442
parsl,1008.0,13764.34,1234.323
parsl,1010.0,12716.746,609.647
parsl,1012.0,13061.578,583.489
parsl,1014.0,14099.602,1787.971
parsl,1016.0,14749.941,1422.175
parsl,1018.0,13651.805,1279.487
parsl,1020.0,13896.359,2277.786
parsl,1022.0,14834.91,1507.076
parsl,1024.0,14091.637,875.608
parsl,1026.0,12912.094,1146.931
parsl,1028.0,13185.578,422.432
