t_sec,container,cpu_rate_core,cpu_pct_1core,mem_working_set_bytes,mem_mb
790.87,deployer,0.000845,0.084,1861087232,1774.871
792.871,deployer,0.000867,0.087,1861087232,1774.871
794.909,deployer,0.003487,0.349,1861087232,1774.871
800.849,deployer,0.000578,0.058,1861087232,1774.871
803.292,deployer,0.000114,0.011,1861107712,1774.891
806.078,deployer,0.841671,84.167,1784836096,1702.152
809.594,deployer,1.792637,179.264,1695916032,1617.352
814.548,deployer,0.425465,42.546,1627471872,1552.078
816.549,deployer,2.18347,218.347,1721483264,1641.734
818.731,deployer,0.805814,80.581,1865334784,1778.922
820.731,deployer,0.002092,0.209,1865334784,1778.922
822.877,deployer,0.001776,0.178,1865338880,1778.926
824.877,deployer,0.583536,58.354,1865134080,1778.73
826.877,deployer,0.375028,37.503,1784287232,1701.629
829.146,deployer,0.961331,96.133,1784229888,1701.574
831.146,deployer,1.653447,165.345,1772113920,1690.02
836.414,deployer,0.613234,61.323,1621827584,1546.695
839.88,deployer,0.720353,72.035,1681104896,1603.227
842.817,deployer,0.844816,84.482,1720053760,1640.371
844.957,deployer,1.087597,108.76,1781317632,1698.797
847.107,deployer,0.659642,65.964,1848872960,1763.223
849.107,deployer,0.048609,4.861,1867362304,1780.855
851.107,deployer,0.002071,0.207,1867366400,1780.859
853.107,deployer,0.356693,35.669,1840537600,1755.273
855.108,deployer,0.255122,25.512,1868083200,1781.543
857.217,deployer,0.001373,0.137,1868083200,1781.543
859.218,deployer,0.001964,0.196,1868087296,1781.547
861.218,deployer,0.615012,61.501,1868394496,1781.84
863.219,deployer,0.002373,0.237,1868427264,1781.871
865.219,deployer,0.000973,0.097,1868427264,1781.871
867.219,deployer,0.001212,0.121,1868427264,1781.871
869.731,deployer,0.005722,0.572,1868427264,1781.871
880.157,deployer,0.000202,0.02,1868427264,1781.871
883.338,deployer,0.000788,0.079,1868427264,1781.871
885.576,deployer,0.00109,0.109,1868427264,1781.871
887.577,deployer,0.000426,0.043,1868427264,1781.871
889.577,deployer,0.00067,0.067,1868427264,1781.871
891.862,deployer,0.001977,0.198,1868427264,1781.871
893.862,deployer,0.000456,0.046,1868427264,1781.871
895.862,deployer,0.000679,0.068,1868427264,1781.871
897.862,deployer,0.000993,0.099,1868427264,1781.871
899.948,deployer,0.000581,0.058,1868427264,1781.871
901.949,deployer,0.000386,0.039,1868427264,1781.871
904.088,deployer,0.001189,0.119,1868427264,1781.871
906.386,deployer,0.002155,0.216,1868427264,1781.871
909.196,deployer,0.00107,0.107,1868427264,1781.871
914.248,deployer,0.00066,0.066,1868427264,1781.871
916.873,deployer,0.000903,0.09,1868427264,1781.871
918.873,deployer,0.000826,0.083,1868427264,1781.871
921.356,deployer,0.001444,0.144,1868427264,1781.871
923.453,deployer,0.000882,0.088,1868427264,1781.871
925.453,deployer,0.001659,0.166,1868427264,1781.871
927.454,deployer,0.00058,0.058,1868427264,1781.871
929.454,deployer,0.009355,0.935,1868783616,1782.211
938.992,deployer,0.003068,0.307,1868435456,1781.879
940.992,deployer,0.003737,0.374,1868005376,1781.469
943.022,deployer,0.022422,2.242,1868357632,1781.805
950.078,deployer,0.003212,0.321,1867653120,1781.133
952.078,deployer,0.001087,0.109,1867522048,1781.008
954.078,deployer,0.000215,0.021,1867522048,1781.008
956.232,deployer,0.007751,0.775,1867816960,1781.289
958.232,deployer,0.001274,0.127,1867816960,1781.289
960.41,deployer,0.007268,0.727,1866952704,1780.465
964.351,deployer,0.019194,1.919,1866866688,1780.383
974.091,deployer,0.001801,0.18,1866510336,1780.043
976.091,deployer,0.000547,0.055,1866510336,1780.043
978.299,deployer,0.001692,0.169,1866432512,1779.969
980.299,deployer,0.003004,0.3,1866784768,1780.305
982.512,deployer,0.000642,0.064,1866784768,1780.305
984.584,deployer,0.007063,0.706,1866153984,1779.703
986.589,deployer,0.002461,0.246,1866223616,1779.77
988.589,deployer,0.000638,0.064,1866223616,1779.77
990.589,deployer,0.001965,0.197,1866223616,1779.77
992.589,deployer,0.001262,0.126,1866223616,1779.77
994.59,deployer,0.000428,0.043,1866223616,1779.77
996.59,deployer,0.002173,0.217,1866223616,1779.77
1002.48,deployer,0.000267,0.027,1866223616,1779.77
1004.48,deployer,0.001151,0.115,1866223616,1779.77
1006.746,deployer,0.000561,0.056,1866223616,1779.77
1009.636,deployer,0.000886,0.089,1866223616,1779.77
1011.844,deployer,0.002033,0.203,1866223616,1779.77
1014.421,deployer,0.000169,0.017,1866223616,1779.77
1016.536,deployer,0.001506,0.151,1866223616,1779.77
1018.616,deployer,0.000506,0.051,1866223616,1779.77
1020.616,deployer,0.000943,0.094,1866223616,1779.77
1022.616,deployer,0.001908,0.191,1866223616,1779.77
1024.616,deployer,0.003514,0.351,1866223616,1779.77
1029.958,deployer,0.000339,0.034,1866223616,1779.77
1032.893,deployer,0.003237,0.324,1866223616,1779.77
1043.886,deployer,0.000576,0.058,1866223616,1779.77
1046.128,deployer,0.000448,0.045,1866223616,1779.77
1048.128,deployer,0.000916,0.092,1866223616,1779.77
1050.566,deployer,0.000448,0.045,1866223616,1779.77
1052.566,deployer,0.001252,0.125,1866223616,1779.77
1054.752,deployer,0.000817,0.082,1866223616,1779.77
1056.752,deployer,0.000315,0.032,1866223616,1779.77
